bs,seq,nh,nkv,hd,t_measured_ms
1,4096,16,1,64,4.4226679019629955
1,4096,16,1,128,5.050382576882839
1,4096,16,2,64,4.403643077239394
1,4096,16,2,128,5.046675447374582
1,4096,16,4,64,4.40012663602829
1,4096,16,4,128,5.051524611189961
1,4096,16,8,64,4.4004470109939575
1,4096,16,8,128,5.050332518294454
1,4096,32,1,64,8.46791104413569
1,4096,32,1,128,10.563547955825925
1,4096,32,2,64,8.4658726118505
1,4096,32,2,128,10.577569017186761
1,4096,32,4,64,8.463012054562569
1,4096,32,4,128,10.591700905933976
1,4096,32,8,64,8.459164993837476
1,4096,32,8,128,10.609774384647608
1,4096,64,1,64,24.753392674028873
1,4096,64,1,128,42.0967114623636
1,4096,64,2,64,24.755816906690598
1,4096,64,2,128,42.41948598064482
1,4096,64,4,64,24.753437843173742
1,4096,64,4,128,42.48567880131304
1,4096,64,8,64,24.773549987003207
1,4096,64,8,128,42.52159968018532
1,8192,2,1,64,2.0874470937997103
1,8192,2,1,128,2.37303227186203
1,8192,2,2,64,2.0814205054193735
1,8192,2,2,128,2.31850054115057
1,8192,2,4,64,-1.0
1,8192,2,4,128,-1.0
1,8192,2,8,64,-1.0
1,8192,2,8,128,-1.0
1,8192,4,1,64,4.015132552012801
1,8192,4,1,128,4.606424365192652
1,8192,4,2,64,4.014691105112433
1,8192,4,2,128,4.605122143402696
1,8192,4,4,64,4.035589983686805
1,8192,4,4,128,4.589928546920419
1,8192,4,8,64,-1.0
1,8192,4,8,128,-1.0
1,8192,8,1,64,7.911043474450707
1,8192,8,1,128,9.127540048211813
1,8192,8,2,64,7.901746779680252
1,8192,8,2,128,9.126958437263966
1,8192,8,4,64,7.892058230936527
1,8192,8,4,128,9.130831575021148
1,8192,8,8,64,7.897824048995972
1,8192,8,8,128,9.119349997490644
1,8192,16,1,64,16.840587137266994
1,8192,16,1,128,19.254734041169286
1,8192,16,2,64,16.80213981308043
1,8192,16,2,128,19.25796060822904
1,8192,16,4,64,16.798027558252215
1,8192,16,4,128,19.261542009189725
1,8192,16,8,64,16.793684102594852
1,8192,16,8,128,19.26492853090167
1,8192,32,1,64,33.416943391785026
1,8192,32,1,128,41.62501287646592
1,8192,32,2,64,33.39258302003145
1,8192,32,2,128,41.674204636365175
1,8192,32,4,64,33.3834916818887
1,8192,32,4,128,41.65986808948219
1,8192,32,8,64,33.3818388171494
1,8192,32,8,128,41.675697080791
1,8192,64,1,64,98.60663604922593
1,8192,64,1,128,166.74152645282447
1,8192,64,2,64,98.70240371674299
1,8192,64,2,128,167.05953772179782
1,8192,64,4,64,98.7915089353919
1,8192,64,4,128,167.11568157188594
1,8192,64,8,64,98.81904534995556
1,8192,64,8,128,167.12643671780825
2,64,2,1,64,0.09660888463258743
2,64,2,1,128,0.09119370952248573
2,64,2,2,64,0.09511597454547882
2,64,2,2,128,0.09556696750223637
2,64,2,4,64,-1.0
2,64,2,4,128,-1.0
2,64,2,8,64,-1.0
2,64,2,8,128,-1.0
2,64,4,1,64,0.09898864664137363
2,64,4,1,128,0.0935534480959177
2,64,4,2,64,0.10252557694911957
2,64,4,2,128,0.08320971392095089
2,64,4,4,64,0.07954775355756283
2,64,4,4,128,0.08274847641587257
2,64,4,8,64,-1.0
2,64,4,8,128,-1.0
2,64,8,1,64,0.08062925189733505
2,64,8,1,128,0.0803191214799881
2,64,8,2,64,0.07883086800575256
2,64,8,2,128,0.08484232239425182
2,64,8,4,64,0.09776605293154716
2,64,8,4,128,0.09542191401124
2,64,8,8,64,0.09123957715928555
2,64,8,8,128,0.07984298281371593
2,64,16,1,64,0.0855536200106144
2,64,16,1,128,0.09111431427299976
2,64,16,2,64,0.08194195106625557
2,64,16,2,128,0.08868938311934471
