M,N,K,t_measured_ms
32,2048,8192,0.19902456551790237
32,4096,256,0.07172301411628723
32,4096,512,0.07360195741057396
32,4096,1024,0.07585599087178707
32,4096,2048,0.0946905929595232
32,4096,4096,0.1318049617111683
32,4096,8192,0.21301023662090302
32,8192,256,0.09571830742061138
32,8192,512,0.08982582949101925
32,8192,1024,0.09829690679907799
32,8192,2048,0.13688881881535053
32,8192,4096,0.218129251152277
32,8192,8192,0.40238630026578903
64,256,256,0.10558613575994968
64,256,512,0.13572652824223042
64,256,1024,0.100662000477314
64,256,2048,0.12378441169857979
64,256,4096,0.16672955825924873
64,256,8192,0.2565260510891676
64,512,256,0.10446854867041111
64,512,512,0.08149654604494572
64,512,1024,0.08730171248316765
64,512,2048,0.11372077278792858
64,512,4096,0.1639844849705696
64,512,8192,0.2502589486539364
64,1024,256,0.11693686246871948
64,1024,512,0.09455555118620396
64,1024,1024,0.07607112638652325
64,1024,2048,0.11177803389728069
64,1024,4096,0.1387575175613165
64,1024,8192,0.2149231731891632
64,2048,256,0.12404005974531174
64,2048,512,0.1150784082710743
64,2048,1024,0.12459093704819679
64,2048,2048,0.11543952859938145
64,2048,4096,0.16041705384850502
64,2048,8192,0.2405515406280756
64,4096,256,0.10905228555202484
64,4096,512,0.10739872232079506
64,4096,1024,0.12233713641762733
64,4096,2048,0.13610278256237507
64,4096,4096,0.16840756870806217
64,4096,8192,0.25031459517776966
64,8192,256,0.11167209595441818
64,8192,512,0.10837591253221035
64,8192,1024,0.13171951286494732
64,8192,2048,0.16621802933514118
64,8192,4096,0.2463720738887787
64,8192,8192,0.4140879027545452
128,256,256,0.10856147855520248
128,256,512,0.10619685053825378
128,256,1024,0.1386918593198061
128,256,2048,0.129390275105834
128,256,4096,0.1703461166471243
128,256,8192,0.25815400294959545
128,512,256,0.14653662219643593
128,512,512,0.13400870375335217
128,512,1024,0.10566599667072296
128,512,2048,0.13892748393118382
128,512,4096,0.16967952251434326
128,512,8192,0.2600171137601137
128,1024,256,0.11240318417549133
128,1024,512,0.09257160127162933
128,1024,1024,0.09389873594045639
128,1024,2048,0.11283904314041138
128,1024,4096,0.20104297436773777
128,1024,8192,0.24833600036799908
128,2048,256,0.09174528531730175
128,2048,512,0.09063305333256721
128,2048,1024,0.1014836598187685
128,2048,2048,0.10986835695803165
128,2048,4096,0.16311719082295895
128,2048,8192,0.25697099044919014
128,4096,256,0.0929876696318388
128,4096,512,0.1326058991253376
128,4096,1024,0.10964297689497471
128,4096,2048,0.13425922952592373
128,4096,4096,0.18327520228922367
128,4096,8192,0.2743345685303211
128,8192,256,0.11614523828029633
128,8192,512,0.10391301475465298
128,8192,1024,0.12846849858760834
128,8192,2048,0.17517502419650555
128,8192,4096,0.2567511983215809
128,8192,8192,0.4231750499457121
256,256,256,0.09614345617592335
256,256,512,0.0895156990736723
256,256,1024,0.11281459592282772
256,256,2048,0.11688191443681717
256,256,4096,0.15919539146125317
256,256,8192,0.2537858672440052
256,512,256,0.08442159742116928
256,512,512,0.08984701707959175
256,512,1024,0.09785150177776814
256,512,2048,0.12281257659196854
256,512,4096,0.16134371981024742
256,512,8192,0.25276863016188145
256,1024,256,0.0986733939498663
256,1024,512,0.0989832915365696
256,1024,1024,0.10718894191086292
256,1024,2048,0.14543510042130947
256,1024,4096,0.23795664310455322
256,1024,8192,0.31098700128495693
256,2048,256,0.10359752923250198
256,2048,512,0.09763170965015888
256,2048,1024,0.11155637912452221
256,2048,2048,0.14930707402527332
256,2048,4096,0.20162854343652725
256,2048,8192,0.32218266278505325
256,4096,256,0.10180403478443623
256,4096,512,0.1040229108184576
256,4096,1024,0.11936202645301819
256,4096,2048,0.1504635438323021
256,4096,4096,0.21585100330412388
256,4096,8192,0.3455157857388258
256,8192,256,0.10444340296089649
256,8192,512,0.11802883818745613
256,8192,1024,0.13749999925494194
256,8192,2048,0.1869464758783579
256,8192,4096,0.2664646599441767
256,8192,8192,0.4547389689832926
512,256,256,0.0920912716537714
512,256,512,0.09728060103952885
512,256,1024,0.10398821905255318
512,256,2048,0.12437533587217331
512,256,4096,0.20606699399650097
512,256,8192,0.27637253515422344
512,512,256,0.09417952969670296
512,512,512,0.10769465006887913
512,512,1024,0.10322639718651772
512,512,2048,0.13516610488295555
512,512,4096,0.18503796309232712
512,512,8192,0.33122929744422436
512,1024,256,0.1060564536601305
512,1024,512,0.10887742973864079
512,1024,1024,0.13325689360499382
512,1024,2048,0.17958879470825195
512,1024,4096,0.28652697801589966
512,1024,8192,0.4635599907487631
512,2048,256,0.10196911171078682
512,2048,512,0.11266395449638367
512,2048,1024,0.1357519067823887
512,2048,2048,0.18517323769629002
512,2048,4096,0.28458330780267715
512,2048,8192,0.4805615171790123
512,4096,256,0.11713709682226181
512,4096,512,0.1287432387471199
512,4096,1024,0.14066067524254322
512,4096,2048,0.18409150652587414
512,4096,4096,0.3216464538127184
512,4096,8192,0.5514130461961031
512,8192,256,0.1448534894734621
512,8192,512,0.14682253822684288
512,8192,1024,0.17592590302228928
512,8192,2048,0.2471734769642353
512,8192,4096,0.34730415791273117
