M,N,K,t_measured_ms
8,512,2885,-1.0
8,512,4096,0.019658938981592655
8,512,6227,-1.0
8,512,8192,0.02110202331095934
8,512,12632,-1.0
8,512,13940,-1.0
8,512,15254,-1.0
8,512,16384,0.022573047317564487
8,1024,256,0.01633400097489357
8,1024,512,0.016754958778619766
8,1024,1024,0.017395010218024254
8,1024,2048,0.018768012523651123
8,1024,2885,-1.0
8,1024,4096,0.020270003005862236
8,1024,6227,-1.0
8,1024,8192,0.02344499807804823
8,1024,12632,-1.0
8,1024,13940,-1.0
8,1024,15254,-1.0
8,1024,16384,0.023404951207339764
8,2048,256,0.016695004887878895
8,2048,512,0.01713505480438471
8,2048,1024,0.017466023564338684
8,2048,2048,0.01877802424132824
8,2048,2885,-1.0
8,2048,4096,0.020309933461248875
8,2048,6227,-1.0
8,2048,8192,0.021931948140263557
8,2048,12632,-1.0
8,2048,13940,-1.0
8,2048,15254,-1.0
8,2048,16384,0.025728018954396248
8,2127,256,-1.0
8,2127,512,-1.0
8,2127,1024,-1.0
8,2127,2048,-1.0
8,2127,2885,-1.0
8,2127,4096,-1.0
8,2127,6227,-1.0
8,2127,8192,-1.0
8,2127,12632,-1.0
8,2127,13940,-1.0
8,2127,15254,-1.0
8,2127,16384,-1.0
8,4096,256,0.016824924387037754
8,4096,512,0.016884994693100452
8,4096,1024,0.017455080524086952
8,4096,2048,0.018798047676682472
8,4096,2885,-1.0
8,4096,4096,0.02161203883588314
8,4096,6227,-1.0
8,4096,8192,0.02713093999773264
8,4096,12632,-1.0
8,4096,13940,-1.0
8,4096,15254,-1.0
8,4096,16384,0.031316070817410946
8,5268,256,-1.0
8,5268,512,-1.0
8,5268,1024,-1.0
8,5268,2048,-1.0
8,5268,2885,-1.0
8,5268,4096,-1.0
8,5268,6227,-1.0
8,5268,8192,-1.0
8,5268,12632,-1.0
8,5268,13940,-1.0
8,5268,15254,-1.0
8,5268,16384,-1.0
8,8192,256,0.016875099390745163
8,8192,512,0.017184996977448463
8,8192,1024,0.016664969734847546
8,8192,2048,0.02013996709138155
8,8192,2885,-1.0
8,8192,4096,0.024676090106368065
8,8192,6227,-1.0
8,8192,8192,0.02968392800539732
8,8192,12632,-1.0
8,8192,13940,-1.0
8,8192,15254,-1.0
8,8192,16384,0.05081505514681339
8,9372,256,-1.0
8,9372,512,-1.0
8,9372,1024,-1.0
8,9372,2048,-1.0
8,9372,2885,-1.0
8,9372,4096,-1.0
8,9372,6227,-1.0
8,9372,8192,-1.0
8,9372,12632,-1.0
8,9372,13940,-1.0
8,9372,15254,-1.0
8,9372,16384,-1.0
