bs,seq,nh,nkv,hd,t_measured_ms
1,8397,4,4,64,0.2962199505418539
1,8397,4,4,128,0.5924899596720934
1,8397,8,1,64,0.43974292930215597
1,8397,8,1,128,0.8732369169592857
1,8397,8,2,64,0.4359269514679909
1,8397,8,2,128,0.8724350482225418
1,8397,8,4,64,0.4361380124464631
1,8397,8,4,128,0.8758209878578782
1,8397,16,1,64,0.85645099170506
1,8397,16,1,128,1.7573690274730325
1,8397,16,2,64,0.8627210045233369
1,8397,16,2,128,1.7629869980737567
1,8397,16,4,64,0.8654249832034111
1,8397,16,4,128,1.7701680772006512
1,8397,32,1,64,1.7288170056417584
1,8397,32,1,128,3.5423689987510443
1,8397,32,2,64,1.7298689344897866
1,8397,32,2,128,3.538834978826344
1,8397,32,4,64,1.7312699928879738
1,8397,32,4,128,3.5430199932307005
1,10446,4,1,64,0.36881701089441776
1,10446,4,1,128,0.7341400487348437
1,10446,4,2,64,0.36787695717066526
1,10446,4,2,128,0.7326069753617048
1,10446,4,4,64,0.36654400173574686
1,10446,4,4,128,0.731957028619945
1,10446,8,1,64,0.7140309317037463
1,10446,8,1,128,1.4438140206038952
1,10446,8,2,64,0.7110149599611759
1,10446,8,2,128,1.4379550702869892
1,10446,8,4,64,0.7104150718078017
1,10446,8,4,128,1.4349410776048899
1,10446,16,1,64,1.2392099015414715
1,10446,16,1,128,2.583155990578234
1,10446,16,2,64,1.2755339266732335
1,10446,16,2,128,2.6239450089633465
1,10446,16,4,64,1.2777779484167695
1,10446,16,4,128,2.6271010283380747
1,10446,32,1,64,2.570356009528041
1,10446,32,1,128,5.240691010840237
1,10446,32,2,64,2.5725889718160033
1,10446,32,2,128,5.240761092863977
1,10446,32,4,64,2.5719290133565664
1,10446,32,4,128,5.247080000117421
1,14267,4,1,64,0.742302043363452
1,14267,4,1,128,1.4807680854573846
1,14267,4,2,64,0.736132962629199
1,14267,4,2,128,1.4565630117431283
1,14267,4,4,64,0.7263890001922846
1,14267,4,4,128,1.4505040599033237
1,14267,8,1,64,1.179601065814495
1,14267,8,1,128,2.418091055005789
1,14267,8,2,64,1.218438963405788
1,14267,8,2,128,2.4752040626481175
1,14267,8,4,64,1.2291150633245707
