seq,dim,t_measured_ms
4096,4013,0.1870879204943776
4096,4096,0.19114394672214985
4096,4175,0.20296103321015835
4096,4491,0.25352591183036566
4096,5953,0.4186710575595498
4096,6137,0.43482601176947355
4096,6202,0.4403140628710389
4096,6549,0.473944004625082
4096,6591,0.47589605674147606
4096,6957,0.5085560260340571
4096,7344,0.5390199366956949
4096,8192,0.6087740184739232
5011,256,0.03472203388810158
5011,266,0.03477197606116533
5011,512,0.03781693521887064
5011,659,0.04526693373918533
5011,1024,0.054209958761930466
5011,1737,0.0757420202717185
5011,1805,0.07954798638820648
5011,2048,0.0846360344439745
5011,2343,0.12291304301470518
5011,2806,0.1545289997011423
5011,2996,0.16695796512067318
5011,3424,0.20515499636530876
5011,4013,0.2919130492955446
5011,4096,0.3078270237892866
5011,4175,0.32872799783945084
5011,4491,0.37239305675029755
5011,5953,0.5323709920048714
5011,6137,0.5510889459401369
5011,6202,0.5560260033234954
5011,6549,0.5894049536436796
5011,6591,0.5925099831074476
5011,6957,0.6284329574555159
5011,7344,0.6683120736852288
5011,8192,0.7632829947397113
5100,256,0.03465195186436176
5100,266,0.035332050174474716
5100,512,0.0398589763790369
5100,659,0.04496693145483732
5100,1024,0.05623302422463894
5100,1737,0.07649394683539867
5100,1805,0.07975904736667871
5100,2048,0.08314300794154406
5100,2343,0.13620208483189344
5100,2806,0.1566320424899459
5100,2996,0.1706529874354601
5100,3424,0.21735206246376038
5100,4013,0.3081870963796973
5100,4096,0.32170803751796484
5100,4175,0.3346370067447424
5100,4491,0.38394995499402285
5100,5953,0.5468219751492143
5100,6137,0.5589700303971767
5100,6202,0.5655200220644474
5100,6549,0.6047979695722461
5100,6591,0.6053089164197445
5100,6957,0.6420430727303028
5100,7344,0.6819729460403323
5100,8192,0.7802179316058755
5223,256,0.03475206904113293
5223,266,0.03575300797820091
5223,512,0.0398589763790369
5223,659,0.043996027670800686
5223,1024,0.056224060244858265
5223,1737,0.07923797238618135
5223,1805,0.07978896610438824
5223,2048,0.08797994814813137
5223,2343,0.13613200280815363
5223,2806,0.16265199519693851
5223,2996,0.1748100621625781
5223,3424,0.23771298583596945
5223,4013,0.3251029411330819
5223,4096,0.3288090229034424
5223,4175,0.3439909778535366
5223,4491,0.39320404175668955
5223,5953,0.5578580312430859
5223,6137,0.5729709519073367
5223,6202,0.582854961976409
5223,6549,0.6166159873828292
